Model,Threshold,Test Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.3500000000000001,0.8880688806888068,0.4576271186440678,0.6666666666666666,0.542713567839196,0.8669803683464885
Random Forest,0.30000000000000004,0.8671586715867159,0.4,0.6666666666666666,0.5,0.8633542467786548
XGBoost,0.3500000000000001,0.8831488314883149,0.44166666666666665,0.654320987654321,0.527363184079602,0.8724279835390946
